,speed,accel,hand,
"('baby peach', 'landship', 'roller', 'Peach Parasol*')",2.75,-1.75,-2,N
"('baby peach', 'biddybuggy', 'button', 'Clouds*')",2.75,-1.75,-2,N
"('baby peach', 'biddybuggy', 'button', 'Peach Parasol*')",2.75,-1.75,-2,N
"('baby peach', 'comet', 'roller', 'Clouds*')",2.5,-1.5,-2,Y
"('baby peach', 'comet', 'roller', 'Peach Parasol*')",2.5,-1.5,-2,Y
"('baby peach', 'W25 silver arrow', 'roller', 'Clouds*')",2.5,-1.5,-2,Y
"('baby peach', 'W25 silver arrow', 'roller', 'Peach Parasol*')",2.5,-1.5,-2,Y
"('baby peach', 'landship', 'roller', 'Super Glider*')",2.5,-1.5,-2,Y
"('baby peach', 'landship', 'roller', 'Wario*')",2.5,-1.5,-2,Y
"('baby peach', 'pipe frame', 'button', 'Clouds*')",2.5,-1.5,-2,Y
"('baby peach', 'pipe frame', 'button', 'Peach Parasol*')",2.5,-1.5,-2,Y
"('baby peach', 'biddybuggy', 'standard', 'Clouds*')",2.5,-1.5,-2,Y
"('baby peach', 'biddybuggy', 'standard', 'Peach Parasol*')",2.5,-1.5,-2,Y
"('baby peach', 'biddybuggy', 'button', 'Super Glider*')",2.5,-1.5,-2,Y
"('baby peach', 'biddybuggy', 'button', 'Wario*')",2.5,-1.5,-2,Y
"('baby peach', 'comet', 'roller', 'Super Glider*')",2.25,-1.25,-2,
"('baby peach', 'comet', 'roller', 'Wario*')",2.25,-1.25,-2,
"('baby peach', 'W25 silver arrow', 'roller', 'Super Glider*')",2.25,-1.25,-2,
"('baby peach', 'W25 silver arrow', 'roller', 'Wario*')",2.25,-1.25,-2,
"('baby peach', 'pipe frame', 'standard', 'Clouds*')",2.25,-1.25,-2,
"('baby peach', 'pipe frame', 'standard', 'Peach Parasol*')",2.25,-1.25,-2,
"('baby peach', 'pipe frame', 'button', 'Super Glider*')",2.25,-1.25,-2,
"('baby peach', 'pipe frame', 'button', 'Wario*')",2.25,-1.25,-2,
"('lemmy', 'biddybuggy', 'slim', 'Clouds*')",2.25,-1.25,-2,
"('lemmy', 'biddybuggy', 'slim', 'Peach Parasol*')",2.25,-1.25,-2,
"('baby peach', 'biddybuggy', 'standard', 'Super Glider*')",2.25,-1.25,-2,
"('baby peach', 'biddybuggy', 'standard', 'Wario*')",2.25,-1.25,-2,
"('lemmy', 'pipe frame', 'slim', 'Clouds*')",2,-1,-2,
"('lemmy', 'pipe frame', 'slim', 'Peach Parasol*')",2,-1,-2,
"('baby peach', 'pipe frame', 'standard', 'Super Glider*')",2,-1,-2,
"('baby peach', 'pipe frame', 'standard', 'Wario*')",2,-1,-2,
"('lemmy', 'biddybuggy', 'slim', 'Super Glider*')",2,-1,-2,
"('lemmy', 'biddybuggy', 'slim', 'Wario*')",2,-1,-2,
"('lemmy', 'pipe frame', 'slim', 'Super Glider*')",1.75,-0.75,-2,
"('lemmy', 'pipe frame', 'slim', 'Wario*')",1.75,-0.75,-2,
"('baby peach', 'landship', 'slim', 'Clouds*')",2,-0.75,-2,
"('baby peach', 'landship', 'slim', 'Peach Parasol*')",2,-0.75,-2,
"('baby peach', 'koopa clown', 'roller', 'Clouds*')",2.5,-0.75,-2,N
"('baby peach', 'koopa clown', 'roller', 'Peach Parasol*')",2.5,-0.75,-2,N
"('baby peach', 'comet', 'slim', 'Clouds*')",1.75,-0.5,-2,
"('baby peach', 'comet', 'slim', 'Peach Parasol*')",1.75,-0.5,-2,
"('baby peach', 'W25 silver arrow', 'slim', 'Clouds*')",1.75,-0.5,-2,
"('baby peach', 'W25 silver arrow', 'slim', 'Peach Parasol*')",1.75,-0.5,-2,
"('baby peach', 'landship', 'slim', 'Super Glider*')",1.75,-0.5,-2,
"('baby peach', 'landship', 'slim', 'Wario*')",1.75,-0.5,-2,
"('baby peach', 'koopa clown', 'roller', 'Super Glider*')",2.25,-0.5,-2,
"('baby peach', 'koopa clown', 'roller', 'Wario*')",2.25,-0.5,-2,
"('baby peach', 'comet', 'slim', 'Super Glider*')",1.5,-0.25,-2,
"('baby peach', 'comet', 'slim', 'Wario*')",1.5,-0.25,-2,
"('baby peach', 'W25 silver arrow', 'slim', 'Super Glider*')",1.5,-0.25,-2,
"('baby peach', 'W25 silver arrow', 'slim', 'Wario*')",1.5,-0.25,-2,
"('baby peach', 'koopa clown', 'slim', 'Clouds*')",1.75,0.25,-2,
"('baby peach', 'koopa clown', 'slim', 'Peach Parasol*')",1.75,0.25,-2,
"('baby peach', 'koopa clown', 'slim', 'Super Glider*')",1.5,0.5,-2,
"('baby peach', 'koopa clown', 'slim', 'Wario*')",1.5,0.5,-2,
"('baby mario', 'biddybuggy', 'roller', 'Clouds*')",2.75,-2.25,-1.75,
"('baby mario', 'biddybuggy', 'roller', 'Peach Parasol*')",2.75,-2.25,-1.75,
"('baby mario', 'pipe frame', 'roller', 'Clouds*')",2.5,-2,-1.75,
"('baby mario', 'pipe frame', 'roller', 'Peach Parasol*')",2.5,-2,-1.75,
"('koopa troopa', 'biddybuggy', 'roller', 'Clouds*')",2.5,-2,-1.75,
"('koopa troopa', 'biddybuggy', 'roller', 'Peach Parasol*')",2.5,-2,-1.75,
"('baby mario', 'biddybuggy', 'roller', 'Super Glider*')",2.5,-2,-1.75,
"('baby mario', 'biddybuggy', 'roller', 'Wario*')",2.5,-2,-1.75,
"('lemmy', 'landship', 'roller', 'Clouds*')",2.75,-2,-1.75,N
"('lemmy', 'landship', 'roller', 'Peach Parasol*')",2.75,-2,-1.75,N
"('lemmy', 'biddybuggy', 'button', 'Clouds*')",2.75,-2,-1.75,N
"('lemmy', 'biddybuggy', 'button', 'Peach Parasol*')",2.75,-2,-1.75,N
"('koopa troopa', 'pipe frame', 'roller', 'Clouds*')",2.25,-1.75,-1.75,
"('koopa troopa', 'pipe frame', 'roller', 'Peach Parasol*')",2.25,-1.75,-1.75,
"('baby mario', 'pipe frame', 'roller', 'Super Glider*')",2.25,-1.75,-1.75,
"('baby mario', 'pipe frame', 'roller', 'Wario*')",2.25,-1.75,-1.75,
"('koopa troopa', 'biddybuggy', 'roller', 'Super Glider*')",2.25,-1.75,-1.75,
"('koopa troopa', 'biddybuggy', 'roller', 'Wario*')",2.25,-1.75,-1.75,
"('lemmy', 'comet', 'roller', 'Clouds*')",2.5,-1.75,-1.75,N
"('lemmy', 'comet', 'roller', 'Peach Parasol*')",2.5,-1.75,-1.75,N
"('lemmy', 'W25 silver arrow', 'roller', 'Clouds*')",2.5,-1.75,-1.75,N
"('lemmy', 'W25 silver arrow', 'roller', 'Peach Parasol*')",2.5,-1.75,-1.75,N
"('lemmy', 'landship', 'roller', 'Super Glider*')",2.5,-1.75,-1.75,N
"('lemmy', 'landship', 'roller', 'Wario*')",2.5,-1.75,-1.75,N
"('lemmy', 'pipe frame', 'button', 'Clouds*')",2.5,-1.75,-1.75,N
"('lemmy', 'pipe frame', 'button', 'Peach Parasol*')",2.5,-1.75,-1.75,N
"('lemmy', 'biddybuggy', 'standard', 'Clouds*')",2.5,-1.75,-1.75,N
"('lemmy', 'biddybuggy', 'standard', 'Peach Parasol*')",2.5,-1.75,-1.75,N
"('lemmy', 'biddybuggy', 'button', 'Super Glider*')",2.5,-1.75,-1.75,N
"('lemmy', 'biddybuggy', 'button', 'Wario*')",2.5,-1.75,-1.75,N
"('koopa troopa', 'pipe frame', 'roller', 'Super Glider*')",2,-1.5,-1.75,
"('koopa troopa', 'pipe frame', 'roller', 'Wario*')",2,-1.5,-1.75,
"('lemmy', 'comet', 'roller', 'Super Glider*')",2.25,-1.5,-1.75,N
"('lemmy', 'comet', 'roller', 'Wario*')",2.25,-1.5,-1.75,N
"('lemmy', 'W25 silver arrow', 'roller', 'Super Glider*')",2.25,-1.5,-1.75,N
"('lemmy', 'W25 silver arrow', 'roller', 'Wario*')",2.25,-1.5,-1.75,N
"('lemmy', 'pipe frame', 'standard', 'Clouds*')",2.25,-1.5,-1.75,N
"('lemmy', 'pipe frame', 'standard', 'Peach Parasol*')",2.25,-1.5,-1.75,N
"('lemmy', 'pipe frame', 'button', 'Super Glider*')",2.25,-1.5,-1.75,N
"('lemmy', 'pipe frame', 'button', 'Wario*')",2.25,-1.5,-1.75,N
"('lemmy', 'biddybuggy', 'standard', 'Super Glider*')",2.25,-1.5,-1.75,N
"('lemmy', 'biddybuggy', 'standard', 'Wario*')",2.25,-1.5,-1.75,N
"('baby peach', 'landship', 'button', 'Clouds*')",2.5,-1.5,-1.75,N
"('baby peach', 'landship', 'button', 'Peach Parasol*')",2.5,-1.5,-1.75,N
"('baby peach', 'biddybuggy', 'sponge', 'Clouds*')",2.75,-1.5,-1.75,N
"('baby peach', 'biddybuggy', 'sponge', 'Peach Parasol*')",2.75,-1.5,-1.75,N
"('lemmy', 'pipe frame', 'standard', 'Super Glider*')",2,-1.25,-1.75,
"('lemmy', 'pipe frame', 'standard', 'Wario*')",2,-1.25,-1.75,
"('baby mario', 'biddybuggy', 'slim', 'Clouds*')",2,-1.25,-1.75,
"('baby mario', 'biddybuggy', 'slim', 'Peach Parasol*')",2,-1.25,-1.75,
"('baby peach', '300sl roadster', 'roller', 'Clouds*')",2.25,-1.25,-1.75,N
"('baby peach', '300sl roadster', 'roller', 'Peach Parasol*')",2.25,-1.25,-1.75,N
"('baby peach', 'comet', 'button', 'Clouds*')",2.25,-1.25,-1.75,N
"('baby peach', 'comet', 'button', 'Peach Parasol*')",2.25,-1.25,-1.75,N
"('baby peach', 'W25 silver arrow', 'button', 'Clouds*')",2.25,-1.25,-1.75,N
"('baby peach', 'W25 silver arrow', 'button', 'Peach Parasol*')",2.25,-1.25,-1.75,N
"('baby peach', 'landship', 'standard', 'Clouds*')",2.25,-1.25,-1.75,N
"('baby peach', 'landship', 'standard', 'Peach Parasol*')",2.25,-1.25,-1.75,N
"('baby peach', 'landship', 'button', 'Super Glider*')",2.25,-1.25,-1.75,N
"('baby peach', 'landship', 'button', 'Wario*')",2.25,-1.25,-1.75,N
"('baby peach', 'pipe frame', 'sponge', 'Clouds*')",2.5,-1.25,-1.75,N
"('baby peach', 'pipe frame', 'sponge', 'Peach Parasol*')",2.5,-1.25,-1.75,N
"('baby peach', 'biddybuggy', 'sponge', 'Super Glider*')",2.5,-1.25,-1.75,N
"('baby peach', 'biddybuggy', 'sponge', 'Wario*')",2.5,-1.25,-1.75,N
"('baby mario', 'pipe frame', 'slim', 'Clouds*')",1.75,-1,-1.75,
"('baby mario', 'pipe frame', 'slim', 'Peach Parasol*')",1.75,-1,-1.75,
"('koopa troopa', 'biddybuggy', 'slim', 'Clouds*')",1.75,-1,-1.75,
"('koopa troopa', 'biddybuggy', 'slim', 'Peach Parasol*')",1.75,-1,-1.75,
"('baby mario', 'biddybuggy', 'slim', 'Super Glider*')",1.75,-1,-1.75,
"('baby mario', 'biddybuggy', 'slim', 'Wario*')",1.75,-1,-1.75,
"('baby peach', '300sl roadster', 'roller', 'Super Glider*')",2,-1,-1.75,N
"('baby peach', '300sl roadster', 'roller', 'Wario*')",2,-1,-1.75,N
"('baby peach', 'comet', 'standard', 'Clouds*')",2,-1,-1.75,N
"('baby peach', 'comet', 'standard', 'Peach Parasol*')",2,-1,-1.75,N
"('baby peach', 'comet', 'button', 'Super Glider*')",2,-1,-1.75,N
"('baby peach', 'comet', 'button', 'Wario*')",2,-1,-1.75,N
"('baby peach', 'W25 silver arrow', 'standard', 'Clouds*')",2,-1,-1.75,N
"('baby peach', 'W25 silver arrow', 'standard', 'Peach Parasol*')",2,-1,-1.75,N
"('baby peach', 'W25 silver arrow', 'button', 'Super Glider*')",2,-1,-1.75,N
"('baby peach', 'W25 silver arrow', 'button', 'Wario*')",2,-1,-1.75,N
"('lemmy', 'landship', 'slim', 'Clouds*')",2,-1,-1.75,N
"('lemmy', 'landship', 'slim', 'Peach Parasol*')",2,-1,-1.75,N
"('baby peach', 'landship', 'standard', 'Super Glider*')",2,-1,-1.75,N
"('baby peach', 'landship', 'standard', 'Wario*')",2,-1,-1.75,N
"('baby peach', 'pipe frame', 'sponge', 'Super Glider*')",2.25,-1,-1.75,N
"('baby peach', 'pipe frame', 'sponge', 'Wario*')",2.25,-1,-1.75,N
"('lemmy', 'koopa clown', 'roller', 'Clouds*')",2.5,-1,-1.75,N
"('lemmy', 'koopa clown', 'roller', 'Peach Parasol*')",2.5,-1,-1.75,N
"('koopa troopa', 'pipe frame', 'slim', 'Clouds*')",1.5,-0.75,-1.75,
"('koopa troopa', 'pipe frame', 'slim', 'Peach Parasol*')",1.5,-0.75,-1.75,
"('baby mario', 'pipe frame', 'slim', 'Super Glider*')",1.5,-0.75,-1.75,
"('baby mario', 'pipe frame', 'slim', 'Wario*')",1.5,-0.75,-1.75,
"('koopa troopa', 'biddybuggy', 'slim', 'Super Glider*')",1.5,-0.75,-1.75,
"('koopa troopa', 'biddybuggy', 'slim', 'Wario*')",1.5,-0.75,-1.75,
"('lemmy', 'comet', 'slim', 'Clouds*')",1.75,-0.75,-1.75,N
"('lemmy', 'comet', 'slim', 'Peach Parasol*')",1.75,-0.75,-1.75,N
"('baby peach', 'comet', 'standard', 'Super Glider*')",1.75,-0.75,-1.75,N
"('baby peach', 'comet', 'standard', 'Wario*')",1.75,-0.75,-1.75,N
"('lemmy', 'W25 silver arrow', 'slim', 'Clouds*')",1.75,-0.75,-1.75,N
"('lemmy', 'W25 silver arrow', 'slim', 'Peach Parasol*')",1.75,-0.75,-1.75,N
"('baby peach', 'W25 silver arrow', 'standard', 'Super Glider*')",1.75,-0.75,-1.75,N
"('baby peach', 'W25 silver arrow', 'standard', 'Wario*')",1.75,-0.75,-1.75,N
"('lemmy', 'landship', 'slim', 'Super Glider*')",1.75,-0.75,-1.75,N
"('lemmy', 'landship', 'slim', 'Wario*')",1.75,-0.75,-1.75,N
"('baby peach', 'sport bike', 'roller', 'Clouds*')",2,-0.75,-1.75,N
"('baby peach', 'sport bike', 'roller', 'Peach Parasol*')",2,-0.75,-1.75,N
"('baby peach', 'sneeker', 'roller', 'Clouds*')",2,-0.75,-1.75,N
"('baby peach', 'sneeker', 'roller', 'Peach Parasol*')",2,-0.75,-1.75,N
"('baby peach', 'biddybuggy', 'Slick', 'Clouds*')",2,-0.75,-1.75,N
"('baby peach', 'biddybuggy', 'Slick', 'Peach Parasol*')",2,-0.75,-1.75,N
"('lemmy', 'koopa clown', 'roller', 'Super Glider*')",2.25,-0.75,-1.75,N
"('lemmy', 'koopa clown', 'roller', 'Wario*')",2.25,-0.75,-1.75,N
"('koopa troopa', 'pipe frame', 'slim', 'Super Glider*')",1.25,-0.5,-1.75,
"('koopa troopa', 'pipe frame', 'slim', 'Wario*')",1.25,-0.5,-1.75,
"('lemmy', 'comet', 'slim', 'Super Glider*')",1.5,-0.5,-1.75,N
"('lemmy', 'comet', 'slim', 'Wario*')",1.5,-0.5,-1.75,N
"('lemmy', 'W25 silver arrow', 'slim', 'Super Glider*')",1.5,-0.5,-1.75,N
"('lemmy', 'W25 silver arrow', 'slim', 'Wario*')",1.5,-0.5,-1.75,N
"('baby peach', 'sport bike', 'roller', 'Super Glider*')",1.75,-0.5,-1.75,N
"('baby peach', 'sport bike', 'roller', 'Wario*')",1.75,-0.5,-1.75,N
"('baby peach', 'sneeker', 'roller', 'Super Glider*')",1.75,-0.5,-1.75,N
"('baby peach', 'sneeker', 'roller', 'Wario*')",1.75,-0.5,-1.75,N
"('baby peach', 'pipe frame', 'Slick', 'Clouds*')",1.75,-0.5,-1.75,N
"('baby peach', 'pipe frame', 'Slick', 'Peach Parasol*')",1.75,-0.5,-1.75,N
"('baby peach', 'biddybuggy', 'Slick', 'Super Glider*')",1.75,-0.5,-1.75,N
"('baby peach', 'biddybuggy', 'Slick', 'Wario*')",1.75,-0.5,-1.75,N
"('baby peach', 'biddybuggy', 'Metal', 'Clouds*')",2,-0.5,-1.75,N
"('baby peach', 'biddybuggy', 'Metal', 'Peach Parasol*')",2,-0.5,-1.75,N
"('baby peach', 'koopa clown', 'button', 'Clouds*')",2.25,-0.5,-1.75,N
"('baby peach', 'koopa clown', 'button', 'Peach Parasol*')",2.25,-0.5,-1.75,N
"('baby peach', '300sl roadster', 'slim', 'Clouds*')",1.5,-0.25,-1.75,
"('baby peach', '300sl roadster', 'slim', 'Peach Parasol*')",1.5,-0.25,-1.75,
"('baby peach', 'pipe frame', 'Slick', 'Super Glider*')",1.5,-0.25,-1.75,
"('baby peach', 'pipe frame', 'Slick', 'Wario*')",1.5,-0.25,-1.75,
"('baby peach', 'pipe frame', 'Metal', 'Clouds*')",1.75,-0.25,-1.75,N
"('baby peach', 'pipe frame', 'Metal', 'Peach Parasol*')",1.75,-0.25,-1.75,N
"('baby peach', 'biddybuggy', 'Metal', 'Super Glider*')",1.75,-0.25,-1.75,N
"('baby peach', 'biddybuggy', 'Metal', 'Wario*')",1.75,-0.25,-1.75,N
"('baby peach', 'koopa clown', 'standard', 'Clouds*')",2,-0.25,-1.75,N
"('baby peach', 'koopa clown', 'standard', 'Peach Parasol*')",2,-0.25,-1.75,N
"('baby peach', 'koopa clown', 'button', 'Super Glider*')",2,-0.25,-1.75,N
"('baby peach', 'koopa clown', 'button', 'Wario*')",2,-0.25,-1.75,N
"('baby peach', '300sl roadster', 'slim', 'Super Glider*')",1.25,0,-1.75,
"('baby peach', '300sl roadster', 'slim', 'Wario*')",1.25,0,-1.75,
"('baby peach', 'pipe frame', 'Metal', 'Super Glider*')",1.5,0,-1.75,N
"('baby peach', 'pipe frame', 'Metal', 'Wario*')",1.5,0,-1.75,N
"('lemmy', 'koopa clown', 'slim', 'Clouds*')",1.75,0,-1.75,N
"('lemmy', 'koopa clown', 'slim', 'Peach Parasol*')",1.75,0,-1.75,N
"('baby peach', 'koopa clown', 'standard', 'Super Glider*')",1.75,0,-1.75,N
"('baby peach', 'koopa clown', 'standard', 'Wario*')",1.75,0,-1.75,N
"('baby peach', 'sport bike', 'slim', 'Clouds*')",1.25,0.25,-1.75,
"('baby peach', 'sport bike', 'slim', 'Peach Parasol*')",1.25,0.25,-1.75,
"('baby peach', 'sneeker', 'slim', 'Clouds*')",1.25,0.25,-1.75,
"('baby peach', 'sneeker', 'slim', 'Peach Parasol*')",1.25,0.25,-1.75,
"('lemmy', 'koopa clown', 'slim', 'Super Glider*')",1.5,0.25,-1.75,N
"('lemmy', 'koopa clown', 'slim', 'Wario*')",1.5,0.25,-1.75,N
"('baby peach', 'sport bike', 'slim', 'Super Glider*')",1,0.5,-1.75,
"('baby peach', 'sport bike', 'slim', 'Wario*')",1,0.5,-1.75,
"('baby peach', 'sneeker', 'slim', 'Super Glider*')",1,0.5,-1.75,
"('baby peach', 'sneeker', 'slim', 'Wario*')",1,0.5,-1.75,
"('toadette', 'biddybuggy', 'roller', 'Clouds*')",2.5,-2.25,-1.5,
"('toadette', 'biddybuggy', 'roller', 'Peach Parasol*')",2.5,-2.25,-1.5,
"('toadette', 'pipe frame', 'roller', 'Clouds*')",2.25,-2,-1.5,
"('toadette', 'pipe frame', 'roller', 'Peach Parasol*')",2.25,-2,-1.5,
"('toad', 'biddybuggy', 'roller', 'Clouds*')",2.25,-2,-1.5,
"('toad', 'biddybuggy', 'roller', 'Peach Parasol*')",2.25,-2,-1.5,
"('toadette', 'biddybuggy', 'roller', 'Super Glider*')",2.25,-2,-1.5,
"('toadette', 'biddybuggy', 'roller', 'Wario*')",2.25,-2,-1.5,
"('baby mario', 'landship', 'roller', 'Clouds*')",2.5,-2,-1.5,N
"('baby mario', 'landship', 'roller', 'Peach Parasol*')",2.5,-2,-1.5,N
"('baby mario', 'biddybuggy', 'button', 'Clouds*')",2.5,-2,-1.5,N
"('baby mario', 'biddybuggy', 'button', 'Peach Parasol*')",2.5,-2,-1.5,N
"('toad', 'pipe frame', 'roller', 'Clouds*')",2,-1.75,-1.5,
"('toad', 'pipe frame', 'roller', 'Peach Parasol*')",2,-1.75,-1.5,
"('toadette', 'pipe frame', 'roller', 'Super Glider*')",2,-1.75,-1.5,
"('toadette', 'pipe frame', 'roller', 'Wario*')",2,-1.75,-1.5,
"('toad', 'biddybuggy', 'roller', 'Super Glider*')",2,-1.75,-1.5,
"('toad', 'biddybuggy', 'roller', 'Wario*')",2,-1.75,-1.5,
"('baby mario', 'comet', 'roller', 'Clouds*')",2.25,-1.75,-1.5,N
"('baby mario', 'comet', 'roller', 'Peach Parasol*')",2.25,-1.75,-1.5,N
"('baby mario', 'W25 silver arrow', 'roller', 'Clouds*')",2.25,-1.75,-1.5,N
"('baby mario', 'W25 silver arrow', 'roller', 'Peach Parasol*')",2.25,-1.75,-1.5,N
"('koopa troopa', 'landship', 'roller', 'Clouds*')",2.25,-1.75,-1.5,N
"('koopa troopa', 'landship', 'roller', 'Peach Parasol*')",2.25,-1.75,-1.5,N
"('baby mario', 'landship', 'roller', 'Super Glider*')",2.25,-1.75,-1.5,N
"('baby mario', 'landship', 'roller', 'Wario*')",2.25,-1.75,-1.5,N
"('baby mario', 'pipe frame', 'button', 'Clouds*')",2.25,-1.75,-1.5,N
"('baby mario', 'pipe frame', 'button', 'Peach Parasol*')",2.25,-1.75,-1.5,N
"('baby mario', 'biddybuggy', 'standard', 'Clouds*')",2.25,-1.75,-1.5,N
"('baby mario', 'biddybuggy', 'standard', 'Peach Parasol*')",2.25,-1.75,-1.5,N
"('koopa troopa', 'biddybuggy', 'button', 'Clouds*')",2.25,-1.75,-1.5,N
"('koopa troopa', 'biddybuggy', 'button', 'Peach Parasol*')",2.25,-1.75,-1.5,N
"('baby mario', 'biddybuggy', 'button', 'Super Glider*')",2.25,-1.75,-1.5,N
"('baby mario', 'biddybuggy', 'button', 'Wario*')",2.25,-1.75,-1.5,N
"('lemmy', 'landship', 'button', 'Clouds*')",2.5,-1.75,-1.5,N
"('lemmy', 'landship', 'button', 'Peach Parasol*')",2.5,-1.75,-1.5,N
"('lemmy', 'biddybuggy', 'sponge', 'Clouds*')",2.75,-1.75,-1.5,N
"('lemmy', 'biddybuggy', 'sponge', 'Peach Parasol*')",2.75,-1.75,-1.5,N
"('toad', 'pipe frame', 'roller', 'Super Glider*')",1.75,-1.5,-1.5,
"('toad', 'pipe frame', 'roller', 'Wario*')",1.75,-1.5,-1.5,
"('koopa troopa', 'comet', 'roller', 'Clouds*')",2,-1.5,-1.5,N
"('koopa troopa', 'comet', 'roller', 'Peach Parasol*')",2,-1.5,-1.5,N
"('baby mario', 'comet', 'roller', 'Super Glider*')",2,-1.5,-1.5,N
"('baby mario', 'comet', 'roller', 'Wario*')",2,-1.5,-1.5,N
"('koopa troopa', 'W25 silver arrow', 'roller', 'Clouds*')",2,-1.5,-1.5,N
"('koopa troopa', 'W25 silver arrow', 'roller', 'Peach Parasol*')",2,-1.5,-1.5,N
"('baby mario', 'W25 silver arrow', 'roller', 'Super Glider*')",2,-1.5,-1.5,N
"('baby mario', 'W25 silver arrow', 'roller', 'Wario*')",2,-1.5,-1.5,N
"('koopa troopa', 'landship', 'roller', 'Super Glider*')",2,-1.5,-1.5,N
"('koopa troopa', 'landship', 'roller', 'Wario*')",2,-1.5,-1.5,N
"('baby mario', 'pipe frame', 'standard', 'Clouds*')",2,-1.5,-1.5,N
"('baby mario', 'pipe frame', 'standard', 'Peach Parasol*')",2,-1.5,-1.5,N
"('koopa troopa', 'pipe frame', 'button', 'Clouds*')",2,-1.5,-1.5,N
"('koopa troopa', 'pipe frame', 'button', 'Peach Parasol*')",2,-1.5,-1.5,N
"('baby mario', 'pipe frame', 'button', 'Super Glider*')",2,-1.5,-1.5,N
"('baby mario', 'pipe frame', 'button', 'Wario*')",2,-1.5,-1.5,N
"('koopa troopa', 'biddybuggy', 'standard', 'Clouds*')",2,-1.5,-1.5,N
"('koopa troopa', 'biddybuggy', 'standard', 'Peach Parasol*')",2,-1.5,-1.5,N
"('baby mario', 'biddybuggy', 'standard', 'Super Glider*')",2,-1.5,-1.5,N
"('baby mario', 'biddybuggy', 'standard', 'Wario*')",2,-1.5,-1.5,N
"('koopa troopa', 'biddybuggy', 'button', 'Super Glider*')",2,-1.5,-1.5,N
"('koopa troopa', 'biddybuggy', 'button', 'Wario*')",2,-1.5,-1.5,N
"('lemmy', '300sl roadster', 'roller', 'Clouds*')",2.25,-1.5,-1.5,
"('lemmy', '300sl roadster', 'roller', 'Peach Parasol*')",2.25,-1.5,-1.5,
"('lemmy', 'comet', 'button', 'Clouds*')",2.25,-1.5,-1.5,
"('lemmy', 'comet', 'button', 'Peach Parasol*')",2.25,-1.5,-1.5,
"('lemmy', 'W25 silver arrow', 'button', 'Clouds*')",2.25,-1.5,-1.5,
"('lemmy', 'W25 silver arrow', 'button', 'Peach Parasol*')",2.25,-1.5,-1.5,
"('lemmy', 'landship', 'standard', 'Clouds*')",2.25,-1.5,-1.5,
"('lemmy', 'landship', 'standard', 'Peach Parasol*')",2.25,-1.5,-1.5,
"('lemmy', 'landship', 'button', 'Super Glider*')",2.25,-1.5,-1.5,
"('lemmy', 'landship', 'button', 'Wario*')",2.25,-1.5,-1.5,
"('lemmy', 'pipe frame', 'sponge', 'Clouds*')",2.5,-1.5,-1.5,N
"('lemmy', 'pipe frame', 'sponge', 'Peach Parasol*')",2.5,-1.5,-1.5,N
"('lemmy', 'biddybuggy', 'sponge', 'Super Glider*')",2.5,-1.5,-1.5,N
"('lemmy', 'biddybuggy', 'sponge', 'Wario*')",2.5,-1.5,-1.5,N
"('koopa troopa', 'comet', 'roller', 'Super Glider*')",1.75,-1.25,-1.5,
